"Bobinas"
"Name","Quantity","Location"
"10mH","10","Armário 3"

"Circuitos Integrados"
"Name","Quantity","Location"
"AMPOP","10","Armário 3"
"Dissipador de Potência","10","Armário 3"
"Drivers","0","Armário 3"
"Família 74XX","10","Armário 3"
"Oscilador NF555","8","Armário 3"

"Ferramentas"
"Name","Quantity","Location"
"Alicate de Cravar Ficha F","0","Armário 6"
"Alicate de Cravar RJ45","0","Armário 6"
"Alicate diversos","0","Armário 6"
"Mala de Ferramentas","0","Armário 6"

"Equipamentos"
"Name","Quantity","Location"
"Antena TDT","2","Armário 5"
"Board Digital","0","Armário 5"
"Braço robótico ScoreBot","0","Armário 5"
"Braço robótico pequeno","0","Armário 5"
"Cabo de osciloscópio e gerador de sinal","0","Armário 5"
"Cabo de programação para autómatos Schneider","0","Armário 5"
"Cabo de prova p/ multímetro","0","Armário 5"
"Cabo de prova para multímetro","6","Armário 5"
"Consola HMI","0","Armário 5"
"Contactor","0","Unknown"
"Fonte de Alimentação","4","Armário 5"
"Gateway LoRaWAN 868MHz","0","Armário 5"
"Gerador de sinal","3","Armário 5"
"Kit Electromecânico","0","Armário 5"
"Kit KNX","0","Armário 5"
"Mala de Ferramentas","4","Armário 5"
"Medidor de campo","2","Armário 5"
"Multímetro","6","Armário 5"
"Osciloscópio","5","Armário 5"
"Painel de Automatismos","0","Armário 5"
"Pinça de Autómatos","5","Armário 5"
"Relé térmico","0","Armário 5"
"Relés de estado sólido","0","Unknown"
"Router","0","Armário 5"
"Switch","0","Armário 5"
"Testador de placa de circuito","3","Armário 5"
"Tester p/ pares de cobre","0","Armário 5"

"Autómatos"
"Name","Quantity","Location"
"M221","0","Unknown"
"Zelio","0","Unknown"

"Micro-Controladores"
"Name","Quantity","Location"
"Arduino Mega","2","Unknown"

"Semi-Condutores"
"Name","Quantity","Location"
"CMOS","0","Armário 3"

"Módulos Diversos"
"Name","Quantity","Location"
"Comunicações","5","Armário 2"
"Driver de motor","6","Armário 2"
"LCD","4","Armário 2"
"Sensor","10","Armário 2"

"Sensores"
"Name","Quantity","Location"
"IR","8","Armário 2"
"Luminosidade","0","Armário 2"
"Ultrassónico","10","Armário 2"

"Kits Robótica"
"Name","Quantity","Location"
"Montado","3","Armário 2"
"P/ Montagem","4","Armário 2"

"Motores"
"Name","Quantity","Location"
"Motor AC","5","Armário 2"
"Motor DC","7","Armário 2"
"Motor Servo","8","Armário 2"
"Motor Trifásico","0","Armário 2"
"Motor de Passo","6","Armário 2"

"Conectores"
"Name","Quantity","Location"
"RJ45","0","Armário 3"

"Microprocessadores"
"Name","Quantity","Location"
"RP400","2","Armário 2"
"RPX","5","Armário 2"

"Rodas"
"Name","Quantity","Location"
"Rodas omni-direcionais","5","Armário 2"

